"codename","format_codename","en_name","cycle_codename","set_codename"
"eternal","eternal","Eternal","[""ashes"", ""borealis"", ""core_set"", ""creation_and_control"", ""data_and_destiny"", ""flashpoint"", ""genesis"", ""honor_and_profit"", ""kitara"", ""lunar"", ""magnum_opus"", ""magnum_opus_reprint"", ""mumbad"", ""napd_multiplayer"", ""order_and_chaos"", ""red_sand"", ""reign_and_reverie"", ""revised_core_set"", ""salvaged_memories"", ""sansan"", ""spin"", ""system_core_2019"", ""system_gateway"", ""system_update_2021""]","[""23_seconds"", ""a_study_in_static"", ""all_that_remains"", ""blood_and_water"", ""blood_money"", ""breaker_bay"", ""business_first"", ""chrome_city"", ""core_set"", ""council_of_the_crest"", ""creation_and_control"", ""crimson_dust"", ""cyber_exodus"", ""daedalus_complex"", ""data_and_destiny"", ""democracy_and_dogma"", ""double_time"", ""down_the_white_nile"", ""downfall"", ""earths_scion"", ""escalation"", ""fear_and_loathing"", ""fear_the_masses"", ""first_contact"", ""free_mars"", ""future_proof"", ""honor_and_profit"", ""humanitys_shadow"", ""intervention"", ""kala_ghoda"", ""kampala_ascendent"", ""magnum_opus"", ""magnum_opus_reprint"", ""mala_tempora"", ""martial_law"", ""midnight_sun"", ""midnight_sun_booster_pack"", ""napd_multiplayer"", ""old_hollywood"", ""opening_moves"", ""order_and_chaos"", ""parhelion"", ""quorum"", ""reign_and_reverie"", ""revised_core_set"", ""salsette_island"", ""salvaged_memories"", ""second_thoughts"", ""sovereign_sight"", ""station_one"", ""system_core_2019"", ""system_gateway"", ""system_update_2021"", ""terminal_directive_cards"", ""the_devil_and_the_dragon"", ""the_liberated_mind"", ""the_source"", ""the_spaces_between"", ""the_underway"", ""the_universe_of_tomorrow"", ""the_valley"", ""trace_amount"", ""true_colors"", ""up_and_over"", ""uprising"", ""uprising_booster_pack"", ""upstalk"", ""what_lies_ahead"", ""whispers_in_nalubaale""]"
"ram_0","ram","RAM 0","","[""business_first"", ""chrome_city"", ""core_set"", ""daedalus_complex"", ""double_time"", ""downfall"", ""escalation"", ""humanitys_shadow"", ""mala_tempora"", ""martial_law"", ""quorum"", ""system_gateway"", ""up_and_over"", ""upstalk""]"
"ram_1","ram","RAM 1","","[""creation_and_control"", ""daedalus_complex"", ""down_the_white_nile"", ""downfall"", ""earths_scion"", ""escalation"", ""fear_and_loathing"", ""honor_and_profit"", ""kampala_ascendent"", ""martial_law"", ""quorum"", ""up_and_over"", ""what_lies_ahead"", ""whispers_in_nalubaale""]"
"ram_2","ram","RAM 2","","[""all_that_remains"", ""blood_and_water"", ""breaker_bay"", ""chrome_city"", ""core_set"", ""humanitys_shadow"", ""intervention"", ""opening_moves"", ""revised_core_set"", ""the_devil_and_the_dragon"", ""the_underway"", ""the_universe_of_tomorrow"", ""trace_amount"", ""uprising""]"
"ram_3","ram","RAM 3","","[""a_study_in_static"", ""business_first"", ""creation_and_control"", ""crimson_dust"", ""fear_the_masses"", ""first_contact"", ""mala_tempora"", ""old_hollywood"", ""quorum"", ""reign_and_reverie"", ""sovereign_sight"", ""the_liberated_mind"", ""true_colors"", ""upstalk""]"
"ram_4","ram","RAM 4","","[""blood_and_water"", ""council_of_the_crest"", ""cyber_exodus"", ""daedalus_complex"", ""data_and_destiny"", ""fear_and_loathing"", ""honor_and_profit"", ""kala_ghoda"", ""magnum_opus_reprint"", ""martial_law"", ""salvaged_memories"", ""second_thoughts"", ""the_valley"", ""up_and_over""]"
"ram_5","ram","RAM 5","","[""23_seconds"", ""all_that_remains"", ""core_set"", ""future_proof"", ""mala_tempora"", ""old_hollywood"", ""reign_and_reverie"", ""salsette_island"", ""station_one"", ""the_devil_and_the_dragon"", ""the_source"", ""the_underway"", ""upstalk"", ""what_lies_ahead""]"
"ram_6","ram","RAM 6","","[""chrome_city"", ""data_and_destiny"", ""double_time"", ""earths_scion"", ""fear_and_loathing"", ""intervention"", ""kala_ghoda"", ""quorum"", ""salvaged_memories"", ""second_thoughts"", ""sovereign_sight"", ""system_gateway"", ""up_and_over"", ""whispers_in_nalubaale""]"
"ram_7","ram","RAM 7","","[""all_that_remains"", ""creation_and_control"", ""daedalus_complex"", ""fear_the_masses"", ""magnum_opus_reprint"", ""opening_moves"", ""quorum"", ""revised_core_set"", ""salsette_island"", ""salvaged_memories"", ""the_devil_and_the_dragon"", ""the_liberated_mind"", ""up_and_over"", ""upstalk""]"
"snapshot","snapshot","Snapshot","[""creation_and_control"", ""data_and_destiny"", ""flashpoint"", ""honor_and_profit"", ""kitara"", ""lunar"", ""mumbad"", ""order_and_chaos"", ""red_sand"", ""reign_and_reverie"", ""revised_core_set"", ""sansan""]","[""23_seconds"", ""all_that_remains"", ""blood_and_water"", ""blood_money"", ""breaker_bay"", ""business_first"", ""chrome_city"", ""council_of_the_crest"", ""creation_and_control"", ""crimson_dust"", ""daedalus_complex"", ""data_and_destiny"", ""democracy_and_dogma"", ""down_the_white_nile"", ""earths_scion"", ""escalation"", ""fear_the_masses"", ""first_contact"", ""free_mars"", ""honor_and_profit"", ""intervention"", ""kala_ghoda"", ""kampala_ascendent"", ""martial_law"", ""old_hollywood"", ""order_and_chaos"", ""quorum"", ""reign_and_reverie"", ""revised_core_set"", ""salsette_island"", ""sovereign_sight"", ""station_one"", ""terminal_directive_cards"", ""the_devil_and_the_dragon"", ""the_liberated_mind"", ""the_source"", ""the_spaces_between"", ""the_underway"", ""the_universe_of_tomorrow"", ""the_valley"", ""up_and_over"", ""upstalk"", ""whispers_in_nalubaale""]"
"pre_rotation","standard","Pre Rotation","[""core_set"", ""creation_and_control"", ""data_and_destiny"", ""flashpoint"", ""genesis"", ""honor_and_profit"", ""lunar"", ""mumbad"", ""order_and_chaos"", ""red_sand"", ""sansan"", ""spin""]","[""23_seconds"", ""a_study_in_static"", ""all_that_remains"", ""blood_and_water"", ""blood_money"", ""breaker_bay"", ""business_first"", ""chrome_city"", ""core_set"", ""creation_and_control"", ""crimson_dust"", ""cyber_exodus"", ""daedalus_complex"", ""data_and_destiny"", ""democracy_and_dogma"", ""double_time"", ""earths_scion"", ""escalation"", ""fear_and_loathing"", ""fear_the_masses"", ""first_contact"", ""free_mars"", ""future_proof"", ""honor_and_profit"", ""humanitys_shadow"", ""intervention"", ""kala_ghoda"", ""mala_tempora"", ""martial_law"", ""old_hollywood"", ""opening_moves"", ""order_and_chaos"", ""quorum"", ""salsette_island"", ""second_thoughts"", ""station_one"", ""terminal_directive_cards"", ""the_liberated_mind"", ""the_source"", ""the_spaces_between"", ""the_underway"", ""the_universe_of_tomorrow"", ""the_valley"", ""trace_amount"", ""true_colors"", ""up_and_over"", ""upstalk"", ""what_lies_ahead""]"
"rotation_2017","standard","First Rotation","[""creation_and_control"", ""data_and_destiny"", ""flashpoint"", ""honor_and_profit"", ""kitara"", ""lunar"", ""mumbad"", ""order_and_chaos"", ""red_sand"", ""reign_and_reverie"", ""revised_core_set"", ""sansan""]","[""23_seconds"", ""all_that_remains"", ""blood_and_water"", ""blood_money"", ""breaker_bay"", ""business_first"", ""chrome_city"", ""council_of_the_crest"", ""creation_and_control"", ""crimson_dust"", ""daedalus_complex"", ""data_and_destiny"", ""democracy_and_dogma"", ""down_the_white_nile"", ""earths_scion"", ""escalation"", ""fear_the_masses"", ""first_contact"", ""free_mars"", ""honor_and_profit"", ""intervention"", ""kala_ghoda"", ""kampala_ascendent"", ""martial_law"", ""old_hollywood"", ""order_and_chaos"", ""quorum"", ""reign_and_reverie"", ""revised_core_set"", ""salsette_island"", ""sovereign_sight"", ""station_one"", ""terminal_directive_cards"", ""the_devil_and_the_dragon"", ""the_liberated_mind"", ""the_source"", ""the_spaces_between"", ""the_underway"", ""the_universe_of_tomorrow"", ""the_valley"", ""up_and_over"", ""upstalk"", ""whispers_in_nalubaale""]"
"rotation_2018","standard","Second Rotation","[""creation_and_control"", ""data_and_destiny"", ""flashpoint"", ""honor_and_profit"", ""kitara"", ""lunar"", ""magnum_opus"", ""magnum_opus_reprint"", ""mumbad"", ""order_and_chaos"", ""red_sand"", ""reign_and_reverie"", ""sansan"", ""system_core_2019""]","[""23_seconds"", ""all_that_remains"", ""blood_and_water"", ""blood_money"", ""breaker_bay"", ""business_first"", ""chrome_city"", ""council_of_the_crest"", ""creation_and_control"", ""crimson_dust"", ""daedalus_complex"", ""data_and_destiny"", ""democracy_and_dogma"", ""down_the_white_nile"", ""earths_scion"", ""escalation"", ""fear_the_masses"", ""first_contact"", ""free_mars"", ""honor_and_profit"", ""intervention"", ""kala_ghoda"", ""kampala_ascendent"", ""magnum_opus"", ""magnum_opus_reprint"", ""martial_law"", ""old_hollywood"", ""order_and_chaos"", ""quorum"", ""reign_and_reverie"", ""salsette_island"", ""sovereign_sight"", ""station_one"", ""system_core_2019"", ""the_devil_and_the_dragon"", ""the_liberated_mind"", ""the_source"", ""the_spaces_between"", ""the_underway"", ""the_universe_of_tomorrow"", ""the_valley"", ""up_and_over"", ""upstalk"", ""whispers_in_nalubaale""]"
"rotation_2019","standard","Third Rotation","[""ashes"", ""data_and_destiny"", ""flashpoint"", ""honor_and_profit"", ""kitara"", ""magnum_opus"", ""magnum_opus_reprint"", ""mumbad"", ""order_and_chaos"", ""red_sand"", ""reign_and_reverie"", ""sansan"", ""system_core_2019""]","[""23_seconds"", ""blood_and_water"", ""blood_money"", ""breaker_bay"", ""business_first"", ""chrome_city"", ""council_of_the_crest"", ""crimson_dust"", ""daedalus_complex"", ""data_and_destiny"", ""democracy_and_dogma"", ""down_the_white_nile"", ""downfall"", ""earths_scion"", ""escalation"", ""fear_the_masses"", ""free_mars"", ""honor_and_profit"", ""intervention"", ""kala_ghoda"", ""kampala_ascendent"", ""magnum_opus"", ""magnum_opus_reprint"", ""martial_law"", ""old_hollywood"", ""order_and_chaos"", ""quorum"", ""reign_and_reverie"", ""salsette_island"", ""sovereign_sight"", ""station_one"", ""system_core_2019"", ""the_devil_and_the_dragon"", ""the_liberated_mind"", ""the_underway"", ""the_universe_of_tomorrow"", ""the_valley"", ""uprising"", ""uprising_booster_pack"", ""whispers_in_nalubaale""]"
"rotation_2020","standard","Salvaged Memories","[""ashes"", ""data_and_destiny"", ""flashpoint"", ""honor_and_profit"", ""kitara"", ""magnum_opus"", ""magnum_opus_reprint"", ""mumbad"", ""order_and_chaos"", ""red_sand"", ""reign_and_reverie"", ""salvaged_memories"", ""sansan"", ""system_core_2019""]","[""23_seconds"", ""blood_and_water"", ""blood_money"", ""breaker_bay"", ""business_first"", ""chrome_city"", ""council_of_the_crest"", ""crimson_dust"", ""daedalus_complex"", ""data_and_destiny"", ""democracy_and_dogma"", ""down_the_white_nile"", ""downfall"", ""earths_scion"", ""escalation"", ""fear_the_masses"", ""free_mars"", ""honor_and_profit"", ""intervention"", ""kala_ghoda"", ""kampala_ascendent"", ""magnum_opus"", ""magnum_opus_reprint"", ""martial_law"", ""old_hollywood"", ""order_and_chaos"", ""quorum"", ""reign_and_reverie"", ""salsette_island"", ""salvaged_memories"", ""sovereign_sight"", ""station_one"", ""system_core_2019"", ""the_devil_and_the_dragon"", ""the_liberated_mind"", ""the_underway"", ""the_universe_of_tomorrow"", ""the_valley"", ""uprising"", ""uprising_booster_pack"", ""whispers_in_nalubaale""]"
"rotation_2021","standard","Fourth Rotation","[""ashes"", ""data_and_destiny"", ""flashpoint"", ""kitara"", ""magnum_opus"", ""magnum_opus_reprint"", ""mumbad"", ""order_and_chaos"", ""red_sand"", ""reign_and_reverie"", ""system_gateway"", ""system_update_2021""]","[""23_seconds"", ""blood_and_water"", ""blood_money"", ""business_first"", ""council_of_the_crest"", ""crimson_dust"", ""daedalus_complex"", ""data_and_destiny"", ""democracy_and_dogma"", ""down_the_white_nile"", ""downfall"", ""earths_scion"", ""escalation"", ""fear_the_masses"", ""free_mars"", ""intervention"", ""kala_ghoda"", ""kampala_ascendent"", ""magnum_opus"", ""magnum_opus_reprint"", ""martial_law"", ""order_and_chaos"", ""quorum"", ""reign_and_reverie"", ""salsette_island"", ""sovereign_sight"", ""station_one"", ""system_gateway"", ""system_update_2021"", ""the_devil_and_the_dragon"", ""the_liberated_mind"", ""uprising"", ""uprising_booster_pack"", ""whispers_in_nalubaale""]"
"rotation_2022","standard","Fifth Rotation","[""ashes"", ""borealis"", ""data_and_destiny"", ""flashpoint"", ""kitara"", ""magnum_opus"", ""magnum_opus_reprint"", ""red_sand"", ""reign_and_reverie"", ""system_gateway"", ""system_update_2021""]","[""23_seconds"", ""blood_and_water"", ""blood_money"", ""council_of_the_crest"", ""crimson_dust"", ""daedalus_complex"", ""data_and_destiny"", ""down_the_white_nile"", ""downfall"", ""earths_scion"", ""escalation"", ""free_mars"", ""intervention"", ""kampala_ascendent"", ""magnum_opus"", ""magnum_opus_reprint"", ""martial_law"", ""midnight_sun"", ""midnight_sun_booster_pack"", ""parhelion"", ""quorum"", ""reign_and_reverie"", ""sovereign_sight"", ""station_one"", ""system_gateway"", ""system_update_2021"", ""the_devil_and_the_dragon"", ""uprising"", ""uprising_booster_pack"", ""whispers_in_nalubaale""]"
"rotation_2023","standard","Sixth Rotation","[""ashes"", ""borealis"", ""kitara"", ""liberation"", ""magnum_opus"", ""magnum_opus_reprint"", ""red_sand"", ""reign_and_reverie"", ""system_gateway"", ""system_update_2021""]","[""blood_and_water"", ""council_of_the_crest"", ""crimson_dust"", ""daedalus_complex"", ""down_the_white_nile"", ""downfall"", ""earths_scion"", ""free_mars"", ""kampala_ascendent"", ""magnum_opus"", ""magnum_opus_reprint"", ""midnight_sun"", ""midnight_sun_booster_pack"", ""parhelion"", ""rebellion_without_rehearsal"", ""reign_and_reverie"", ""sovereign_sight"", ""station_one"", ""system_gateway"", ""system_update_2021"", ""the_automata_initiative"", ""the_devil_and_the_dragon"", ""uprising"", ""uprising_booster_pack"", ""whispers_in_nalubaale""]"
"startup_ashes","startup","Startup (Ashes)","[""ashes"", ""system_gateway"", ""system_update_2021""]","[""downfall"", ""system_gateway"", ""system_update_2021"", ""uprising"", ""uprising_booster_pack""]"
"startup_ashes_plus","startup","Startup (Ashes+)","[""ashes"", ""system_gateway"", ""system_update_2021""]","[""downfall"", ""midnight_sun_booster_pack"", ""system_gateway"", ""system_update_2021"", ""uprising"", ""uprising_booster_pack""]"
"startup_ashes_plus_midnight_sun","startup","Startup (Ashes + Midnight Sun)","[""ashes"", ""system_gateway"", ""system_update_2021""]","[""downfall"", ""midnight_sun"", ""midnight_sun_booster_pack"", ""system_gateway"", ""system_update_2021"", ""uprising"", ""uprising_booster_pack""]"
"startup_borealis","startup","Startup (Borealis)","[""borealis"", ""system_gateway"", ""system_update_2021""]","[""midnight_sun"", ""midnight_sun_booster_pack"", ""parhelion"", ""system_gateway"", ""system_update_2021""]"
"startup_borealis_plus_the_automata_initiative","startup","Startup (The Automata Initiative)","[""borealis"", ""system_gateway"", ""system_update_2021""]","[""midnight_sun"", ""midnight_sun_booster_pack"", ""parhelion"", ""system_gateway"", ""system_update_2021"", ""the_automata_initiative""]"
"startup_liberation","startup","Startup (Liberation)","[""liberation"", ""system_gateway"", ""system_update_2021""]","[""rebellion_without_rehearsal"", ""system_gateway"", ""system_update_2021"", ""the_automata_initiative""]"
"system_gateway","system_gateway","System Gateway","[""system_gateway""]","[""system_gateway""]"
