"codename","en_name","cn_name","cycle_codename","set_type_codename","release_date","position","released_by","size"
"draft","Draft","轮抽系列","draft","draft","2012-09-07","1","fantasy_flight_games","1"
"core_set","Core Set","核心系列","core_set","core","2012-09-06","1","fantasy_flight_games","113"
"what_lies_ahead","What Lies Ahead","前途未卜","genesis","data_pack","2012-12-14","1","fantasy_flight_games","20"
"trace_amount","Trace Amount","重重追踪","genesis","data_pack","2013-01-09","2","fantasy_flight_games","20"
"cyber_exodus","Cyber Exodus","赛博迁徙","genesis","data_pack","2013-02-14","3","fantasy_flight_games","20"
"a_study_in_static","A Study in Static","静态研究","genesis","data_pack","2013-03-21","4","fantasy_flight_games","20"
"humanitys_shadow","Humanity's Shadow","人性阴影","genesis","data_pack","2013-05-02","5","fantasy_flight_games","20"
"future_proof","Future Proof","未来考验","genesis","data_pack","2013-05-30","6","fantasy_flight_games","20"
"creation_and_control","Creation and Control","创造与掌控","creation_and_control","deluxe","2013-07-29","1","fantasy_flight_games","55"
"opening_moves","Opening Moves","起手开局","spin","data_pack","2013-09-27","1","fantasy_flight_games","20"
"second_thoughts","Second Thoughts","深思熟虑","spin","data_pack","2013-11-07","2","fantasy_flight_games","20"
"mala_tempora","Mala Tempora","恶劣时期","spin","data_pack","2013-12-13","3","fantasy_flight_games","20"
"true_colors","True Colors","真实面目","spin","data_pack","2014-01-17","4","fantasy_flight_games","20"
"fear_and_loathing","Fear and Loathing","恐惧与憎恶","spin","data_pack","2014-02-21","5","fantasy_flight_games","20"
"double_time","Double Time","双重时刻","spin","data_pack","2014-03-28","6","fantasy_flight_games","20"
"honor_and_profit","Honor and Profit","荣耀与利益","honor_and_profit","deluxe","2014-05-02","1","fantasy_flight_games","55"
"upstalk","Upstalk","上行之旅","lunar","data_pack","2014-07-25","1","fantasy_flight_games","20"
"the_spaces_between","The Spaces Between","往来之隙","lunar","data_pack","2014-08-15","2","fantasy_flight_games","20"
"first_contact","First Contact","初遇之际","lunar","data_pack","2014-09-15","3","fantasy_flight_games","20"
"up_and_over","Up and Over","攀越之路","lunar","data_pack","2014-10-16","4","fantasy_flight_games","20"
"all_that_remains","All That Remains","遗迹之地","lunar","data_pack","2014-11-13","5","fantasy_flight_games","20"
"the_source","The Source","网络之源","lunar","data_pack","2014-12-18","6","fantasy_flight_games","20"
"order_and_chaos","Order and Chaos","秩序与混乱","order_and_chaos","deluxe","2015-01-28","1","fantasy_flight_games","55"
"the_valley","The Valley","生科谷","sansan","data_pack","2015-04-03","1","fantasy_flight_games","20"
"breaker_bay","Breaker Bay","碎浪湾","sansan","data_pack","2015-04-24","2","fantasy_flight_games","20"
"chrome_city","Chrome City","铬金城","sansan","data_pack","2015-05-29","3","fantasy_flight_games","20"
"the_underway","The Underway","暗底区","sansan","data_pack","2015-07-02","4","fantasy_flight_games","20"
"old_hollywood","Old Hollywood","老莱坞","sansan","data_pack","2015-08-06","5","fantasy_flight_games","20"
"the_universe_of_tomorrow","The Universe of Tomorrow","未来域","sansan","data_pack","2015-09-03","6","fantasy_flight_games","20"
"data_and_destiny","Data and Destiny","数据与命运","data_and_destiny","deluxe","2015-10-29","1","fantasy_flight_games","55"
"kala_ghoda","Kala Ghoda","卡拉哥达","mumbad","data_pack","2016-01-29","1","fantasy_flight_games","19"
"business_first","Business First","商务为先","mumbad","data_pack","2016-03-11","2","fantasy_flight_games","19"
"democracy_and_dogma","Democracy and Dogma","民主与教条","mumbad","data_pack","2016-04-01","3","fantasy_flight_games","19"
"salsette_island","Salsette Island","撒尔塞特","mumbad","data_pack","2016-04-28","4","fantasy_flight_games","19"
"the_liberated_mind","The Liberated Mind","自由心智","mumbad","data_pack","2016-05-26","5","fantasy_flight_games","19"
"fear_the_masses","Fear the Masses","群众可畏","mumbad","data_pack","2016-06-16","6","fantasy_flight_games","19"
"23_seconds","23 Seconds","二十三秒","flashpoint","data_pack","2016-07-14","1","fantasy_flight_games","20"
"blood_money","Blood Money","不义之财","flashpoint","data_pack","2016-08-11","2","fantasy_flight_games","20"
"escalation","Escalation","事态升级","flashpoint","data_pack","2016-10-06","3","fantasy_flight_games","20"
"intervention","Intervention","介入冲突","flashpoint","data_pack","2016-11-03","4","fantasy_flight_games","20"
"martial_law","Martial Law","军事管制","flashpoint","data_pack","2016-12-08","5","fantasy_flight_games","20"
"quorum","Quorum","共商出路","flashpoint","data_pack","2017-01-12","6","fantasy_flight_games","20"
"daedalus_complex","Daedalus Complex","代达罗斯","red_sand","data_pack","2017-02-23","1","fantasy_flight_games","20"
"station_one","Station One","一号车站","red_sand","data_pack","2017-03-23","2","fantasy_flight_games","20"
"terminal_directive_cards","Terminal Directive Cards","终极指令","terminal_directive","deluxe","2017-04-27","1","fantasy_flight_games","57"
"terminal_directive_campaign","Terminal Directive Campaign","终极指令战役","terminal_directive","campaign","2017-04-27","2","fantasy_flight_games","28"
"earths_scion","Earth's Scion","地球子孙","red_sand","data_pack","2017-05-25","3","fantasy_flight_games","20"
"blood_and_water","Blood and Water","水债血偿","red_sand","data_pack","2017-06-22","4","fantasy_flight_games","20"
"free_mars","Free Mars","火独运动","red_sand","data_pack","2017-07-20","5","fantasy_flight_games","20"
"crimson_dust","Crimson Dust","绯尘来袭","red_sand","data_pack","2017-08-17","6","fantasy_flight_games","20"
"revised_core_set","Revised Core Set","核心系列修订版","revised_core_set","core","2017-12-14","1","fantasy_flight_games","132"
"sovereign_sight","Sovereign Sight","主权视野","kitara","data_pack","2017-12-28","1","fantasy_flight_games","20"
"down_the_white_nile","Down the White Nile","顺流而下","kitara","data_pack","2018-02-01","2","fantasy_flight_games","20"
"council_of_the_crest","Council of the Crest","顶峰议会","kitara","data_pack","2018-03-01","3","fantasy_flight_games","20"
"the_devil_and_the_dragon","The Devil and the Dragon","恶魔与巨龙","kitara","data_pack","2018-04-05","4","fantasy_flight_games","20"
"whispers_in_nalubaale","Whispers in Nalubaale","湖中低语","kitara","data_pack","2018-05-03","5","fantasy_flight_games","20"
"kampala_ascendent","Kampala Ascendent","坎帕拉崛起","kitara","data_pack","2018-05-31","6","fantasy_flight_games","20"
"reign_and_reverie","Reign and Reverie","统治与空想","reign_and_reverie","deluxe","2018-06-28","1","fantasy_flight_games","58"
"magnum_opus","Magnum Opus","巨作","magnum_opus","expansion","2018-09-07","1","fantasy_flight_games","8"
"napd_multiplayer","NAPD Multiplayer","NAPD 多人模式","napd_multiplayer","promo","2018-09-07","1","fantasy_flight_games","1"
"system_core_2019","System Core 2019","系统核心 2019","system_core_2019","core","2018-12-21","1","null_signal_games","147"
"downfall","Downfall","坍落","ashes","data_pack","2019-03-18","1","null_signal_games","65"
"magnum_opus_reprint","Magnum Opus Reprint","巨作重印版","magnum_opus_reprint","expansion","2019-07-24","1","null_signal_games","6"
"uprising_booster_pack","Uprising Booster Pack","起义增强包","ashes","booster_pack","2019-09-09","2","null_signal_games","7"
"uprising","Uprising","起义","ashes","data_pack","2019-12-31","3","null_signal_games","65"
"salvaged_memories","Salvaged Memories","记忆寻回","salvaged_memories","expansion","2020-12-18","1","null_signal_games","18"
"system_gateway","System Gateway","核心网关","system_gateway","core","2021-03-28","1","null_signal_games","77"
"system_update_2021","System Update 2021","系统革新 2021","system_update_2021","core","2021-03-28","1","null_signal_games","82"
"midnight_sun_booster_pack","Midnight Sun Booster Pack","极昼增强包","borealis","booster_pack","2022-03-18","1","null_signal_games","7"
"midnight_sun","Midnight Sun","极昼","borealis","data_pack","2022-07-22","2","null_signal_games","65"
"parhelion","Parhelion","幻日","borealis","data_pack","2022-12-09","3","null_signal_games","63"
"the_automata_initiative","The Automata Initiative","自动机倡议","liberation","data_pack","2023-07-31","1","null_signal_games","65"
"rebellion_without_rehearsal","Rebellion Without Rehearsal","即兴叛乱","liberation","data_pack","2024-03-18","2","null_signal_games","65"
